conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,92955E+18;Mon Jun 02 15:20:01 +0000 2025;0;@tanyakanrl Nolaknya gini nder: aku nggak mau nek di belakang sound horeg. Aku maunya di depan ;1,92956E+18;;tanyakanrl;in;;0;0;0;https://x.com/undefined/status/1929558631189487626;1,24416E+18;
1,92956E+18;Mon Jun 02 15:09:33 +0000 2025;0;Alhamdulullsh bisa buat bayar wifi buat nontonin video sound horeg ;1,92956E+18;;;in;;0;0;0;https://x.com/undefined/status/1929555997615423537;2377123446;
1,92935E+18;Mon Jun 02 15:09:23 +0000 2025;0;@KemenperinRI Di indo ada horeg cuma nggak tau sih penilainnya spt apa klo dikembangin bisa jadi bisnis yg bagus sebenernya selain buat sewa sound;1,92956E+18;;KemenperinRI;in;;0;0;0;https://x.com/undefined/status/1929555951956176981;98910062;
1,92955E+18;Mon Jun 02 15:09:22 +0000 2025;0;@amelliafdw_ @BTS_twt kak siap siap ya aku mau play lagu mangu pake sound horeg;1,92956E+18;;eternalsuga_;in;;0;1;0;https://x.com/undefined/status/1929555951780000092;1,41183E+18;
1,92956E+18;Mon Jun 02 15:07:27 +0000 2025;0;minimal kl nikahan depan rumah kaga pas malem2 begini anjingg mana pake sound horeg taikkkk besok tuh kuliah jam 7 gua mau tidur kaga bisaaaaa;1,92956E+18;;;in;;0;0;0;https://x.com/undefined/status/1929555468453642494;1,34126E+18;
1,92955E+18;Mon Jun 02 15:05:41 +0000 2025;0;@aelieyu Kebayang dia kalo jual cilok pake sound horeg lagunya 5sos;1,92956E+18;;aelieyu;in;;0;0;0;https://x.com/undefined/status/1929555022292959598;1,36472E+18;
1,92955E+18;Mon Jun 02 15:00:52 +0000 2025;0;@tanyakanrl sound horeg = hiburan org susah kalo kata anak tiktok;1,92955E+18;;tanyakanrl;in;;0;0;0;https://x.com/undefined/status/1929553812533960873;1,45993E+18;
1,92257E+18;Mon Jun 02 14:54:21 +0000 2025;0;@sokphia Sound horeg ini gimana bunyinya..? Dia kepo tuh :{;1,92955E+18;;sokphia;in;;0;1;0;https://x.com/undefined/status/1929552171277648195;2950372614;
1,92955E+18;Mon Jun 02 14:52:19 +0000 2025;0;@tanyakanrl Wkwkwk aku sama temen selalu bercanda cari duit jd dancer aja iya dancer yg dibalik sound horeg kek gini bukan dancer yg di panggung;1,92955E+18;;tanyakanrl;in;;0;0;0;https://x.com/undefined/status/1929551658050031827;1,42204E+18;
1,92955E+18;Mon Jun 02 14:48:30 +0000 2025;5398;@tanyakanrl sayang sekali udh gak ketolong emang kabupaten apalagi jatim otaknya adkitif dengan suara kenceng sound horeg. kalo sender gak suka berarti masih waras dan anda dipihak yg benar jadi jgn sungkan nolak pd aja;1,92955E+18;;tanyakanrl;in;;12;13;84;https://x.com/undefined/status/1929550698171048253;1,54039E+18;
1,92954E+18;Mon Jun 02 14:44:44 +0000 2025;0;@uprevint gausah pake headset dan sound horeg kepalanya udah berisik kak;1,92955E+18;;iblameve;in;;0;1;0;https://x.com/undefined/status/1929549750107242854;1,82646E+18;
1,92905E+18;Mon Jun 02 14:40:27 +0000 2025;0;@remm__ark Tinggal dipakein sound horeg nanti;1,92955E+18;;remm__ark;in;;0;1;0;https://x.com/undefined/status/1929548674431946917;9,3108E+17;
